company,total_layoffs,impacted_workforce_percentage,reported_date,industry,headquarter_location,sources,status,additional_notes,reported_year,month
Chipper Cash,50.0,13.0,2022-12-06,"fintech, money transfer",San Francisco,TechCrunch,Private,,1970-01-01 00:00:00.000002022,1970-01
Udacity,55.0,13.0,2022-10-11,"edtech, artificial intelligence","Mountain View, CA",Udacity,Private,,1970-01-01 00:00:00.000002022,1970-01
Sourcepoint,7.0,13.0,2022-06-02,"Privacy Tech, Marketing Tech",New York,Crunchbase News reporting,Private,Company did not respond to a request to confirm details of layoffs. Layoffs affected around 13% of employees.,1970-01-01 00:00:00.000002022,1970-01
Thirty Madison,15820.0,13.0,2022-08-18,"health care, wellness",Greater New York area,Fierce Healthcare,Private,,1970-01-01 00:00:00.000002022,1970-01
Sendoso,100.0,14.0,2022-06-06,Marketing Automation,San Francisco,Business Insider,Private,,1970-01-01 00:00:00.000002022,1970-01
Malwarebytes,125.0,14.0,2022-08-17,"security, enterprise software",San Francisco,TechCrunch,Private,,1970-01-01 00:00:00.000002022,1970-01
Substack,13.0,14.0,2022-06-29,"Media, Content Creators",San Francisco,New York Times,Private,,1970-01-01 00:00:00.000002022,1970-01
Morning Brew,17772.0,14.0,2022-11-17,"Media, news",New York,Max Tani,Private,,1970-01-01 00:00:00.000002022,1970-01
Benitago Group,903.0,14.0,2022-11-04,"e-commerce, retail",New York,TechCrunch,Private,,1970-01-01 00:00:00.000002022,1970-01
Juniper Square,8465.0,14.0,2022-09-06,Proptech,San Francisco,The Real Deal,Private,,1970-01-01 00:00:00.000002022,1970-01
Nayya,16.0,15.0,2022-06-17,"Employee Benefits, HR Tech",New York,Crunchbase News reporting,Private,,1970-01-01 00:00:00.000002022,1970-01
Verily,250.0,15.0,2023-01-11,"health care, data collection",San Francisco,The Information,Private,,1970-01-01 00:00:00.000002023,1970-01
CyCognito,30.0,15.0,2022-12-08,Cybersecurity,Palo Alto,Calcalistech,Private,,1970-01-01 00:00:00.000002022,1970-01
Zumper,45.0,15.0,2022-06-16,PropTech,San Francisco,The Real Deal,Private,,1970-01-01 00:00:00.000002022,1970-01
Polly,47.0,15.0,2022-12-02,"Insurtech, fintech","Williston, VT",VT Digger,Private,,1970-01-01 00:00:00.000002022,1970-01
Woven,5.0,15.0,2022-08-16,"Artificial intelligence, recruiting",Indianapolis,AdAge,Private,,1970-01-01 00:00:00.000002022,1970-01
The Mom Project,54.0,15.0,2022-07-20,Talent marketplace,Chicago,LinkedIn,Private,,1970-01-01 00:00:00.000002022,1970-01
SonderMind,2068.0,15.0,2022-12-16,telehealth,Denver,Denver Business Journal,Private,,1970-01-01 00:00:00.000002022,1970-01
Apollo,8235.0,15.0,2022-12-15,"developer APIs, enterprise software",San Francisco,Apollo,Private,,1970-01-01 00:00:00.000002022,1970-01
Code42,11572.0,15.0,2022-11-07,"Cybersecurity, enterprise software",Minneapolis,Star Tribune,Private,,1970-01-01 00:00:00.000002022,1970-01
Flowhub,5458.0,15.0,2022-09-09,Cannabis,Dever,Business Insider,Private,,1970-01-01 00:00:00.000002022,1970-01
Daily Harvest,16966.0,15.0,2022-08-08,"Food delivery, ecommerce",New York City,Fortune,Private,,1970-01-01 00:00:00.000002022,1970-01
