company,total_layoffs,impacted_workforce_percentage,reported_date,industry,headquarter_location,sources,status,additional_notes,reported_year,month
Informatica,450.0,7.0,2023-01-10,"Big data, cloud computing","Redwood City, CA",Channel Futures,Public,,1970-01-01 00:00:00.000002023,1970-01
BigBear.ai,2503.0,7.0,2022-09-08,"data analytics, national defense","Columbia, MD",Baltimore Business Journal,Public,,1970-01-01 00:00:00.000002022,1970-01
Unity,509.0,8.0,2023-01-17,Video Games,San Francisco,WSJ,Public,,1970-01-01 00:00:00.000002023,1970-01
Asana,180.0,9.0,2022-11-15,"collaboration, enterprise software",San Francisco,Asana COO,Public,,1970-01-01 00:00:00.000002022,1970-01
Pear Therapeutics,25.0,9.0,2022-07-25,"Software, Biotech",Boston,MassDevice,Public,,1970-01-01 00:00:00.000002022,1970-01
DocuSign,16968.0,9.0,2022-09-28,e-signature,San Francisco,CNBC,Public,,1970-01-01 00:00:00.000002022,1970-01
ForeScout Technologies,100.0,10.0,2023-01-10,"cybersecurity, cloud services","San Jose, CA",Calcalistech,Public,,1970-01-01 00:00:00.000002023,1970-01
Shopify,1000.0,10.0,2022-07-26,E-commerce,"Ottawa, Canada",WSJ,Public,,1970-01-01 00:00:00.000002022,1970-01
Similarweb,120.0,10.0,2022-11-16,"AI, analytics",New York,Globes,Public,,1970-01-01 00:00:00.000002022,1970-01
iRobot,140.0,10.0,2022-08-05,"artificial intelligence, robotics","Bedford, MA",Geekwire,Public,,1970-01-01 00:00:00.000002022,1970-01
Blend,200.0,10.0,2022-04-19,Fintech,San Francisco,HousingWire,Public,,1970-01-01 00:00:00.000002022,1970-01
Skillz,70.0,10.0,2022-05-20,Esports/Video Games,San Francisco,TechCrunch,Public,,1970-01-01 00:00:00.000002022,1970-01
Beachbody,70.0,10.0,2022-01-27,Fitness,"Santa Monica, CA",Club Industry,Public,,1970-01-01 00:00:00.000002022,1970-01
Zulily,99.0,10.0,2022-05-16,E-commerce,Seattle,GeekWire,Public,,1970-01-01 00:00:00.000002022,1970-01
Compass,14027.0,10.0,2023-01-05,PropTech,New York,Bloomberg,Public,,1970-01-01 00:00:00.000002023,1970-01
SoundHound,11871.0,10.0,2023-01-05,Conversational AI,"Santa Clara, CA",SoundHound,Public,,1970-01-01 00:00:00.000002023,1970-01
Blue Apron,13736.0,10.0,2022-12-08,"Grocery, e-commerce, delivery service",New York,Blue Apron,Public,,1970-01-01 00:00:00.000002022,1970-01
Core Scientific,16890.0,10.0,2022-08-12,"Blockchain, cryptocurrency",Austin,Blockworks,Public,,1970-01-01 00:00:00.000002022,1970-01
Kaltura,75.0,11.0,2023-01-04,"Developer APIs, enterprise software",New York,Globes,Public,,1970-01-01 00:00:00.000002023,1970-01
Twilio,800.0,11.0,2022-09-14,Enterprise Software,San Francisco,TechCrunch,Public,,1970-01-01 00:00:00.000002022,1970-01
Zuora,6729.0,11.0,2022-12-06,Cloud Infrastructure,"San Mateo, CA",MarketWatch,Public,,1970-01-01 00:00:00.000002022,1970-01
BuzzFeed,180.0,12.0,2022-12-06,"Media, news",New York,Variety,Public,,1970-01-01 00:00:00.000002022,1970-01
AppLovin,300.0,12.0,2022-06-29,"Mobile Apps, Developer Tools",Palo Alto,Silicon Valley Business Journal,Public,,1970-01-01 00:00:00.000002022,1970-01
DesktopMetal,11492.0,12.0,2022-06-13,3D Printing,"Burlington, Massachusetts",MarketWatch,Public,,1970-01-01 00:00:00.000002022,1970-01
Meta,11000.0,13.0,2022-11-09,Social media,"Menlo Park, CA",CNBC,Public,,1970-01-01 00:00:00.000002022,1970-01
Integral Ad Science,120.0,13.0,2022-12-07,"Data science, enterprise",New York,Integral Ad Science,Public,,1970-01-01 00:00:00.000002022,1970-01
BigCommerce,4739.0,13.0,2022-12-15,"Enterprise software, e-commerce","Austin, TX",MarketWatch,Public,,1970-01-01 00:00:00.000002022,1970-01
Elastic,15818.0,13.0,2022-11-30,"analytics, SaaS",San Francisco,Elastic,Public,,1970-01-01 00:00:00.000002022,1970-01
Lending Club,225.0,14.0,2023-01-12,"Fintech, banking",San Francisco,Bloomberg,Public,,1970-01-01 00:00:00.000002023,1970-01
Edgio,95.0,14.0,2022-12-13,"Cloud computing, web hosting","Tempe, AZ",Edgio,Public,,1970-01-01 00:00:00.000002022,1970-01
Life360,8905.0,14.0,2023-01-12,mobile apps,San Francisco,Life360 statement,Public,,1970-01-01 00:00:00.000002023,1970-01
Groupon,500.0,15.0,2022-08-08,"ecommerce, retail",Chicago,TechCrunch,Public,,1970-01-01 00:00:00.000002022,1970-01
Lyft,760.0,15.0,2022-11-03,Transportation,San Francisco,WSJ,Public,,1970-01-01 00:00:00.000002022,1970-01
Baakt,8860.0,15.0,2022-12-08,Cryptocurrency,"Alpharetta, GA",Baakt,Public,,1970-01-01 00:00:00.000002022,1970-01
ThredUp,13812.0,15.0,2022-08-15,"E-commerce, fashion","Oakland, CA",Retail Dive,Public,,1970-01-01 00:00:00.000002022,1970-01
Limeade,3337.0,15.0,2023-01-11,"Employee Benefits, HR Tech","Bellevue, WA",GeekWire,Public,,1970-01-01 00:00:00.000002023,1970-01
GoodRx,140.0,16.0,2022-08-31,"Health care, pharmaceuticals",Los Angeles,Seeking Alpha,Public,,1970-01-01 00:00:00.000002022,1970-01
Astra,5411.0,16.0,2022-11-08,"aerospace, space","Alameda, CA",Astra CEO,Public,,1970-01-01 00:00:00.000002022,1970-01
Enjoy,400.0,18.0,2022-06-30,"E-commerce, Delivery",Palo Alto,Bloomberg,Public,,1970-01-01 00:00:00.000002022,1970-01
Opendoor,550.0,18.0,2022-11-02,Proptech,San Francisco,Opendoor CEO,Public,,1970-01-01 00:00:00.000002022,1970-01
Redfin,1332.0,19.0,2022-11-09,PropTech,Seattle,Bloomberg,Public,,1970-01-01 00:00:00.000002022,1970-01
Snap,1280.0,20.0,2022-08-31,Social media,"Venice, CA",The Verge,Public,,1970-01-01 00:00:00.000002022,1970-01
Pluralsight,400.0,20.0,2022-12-12,"EdTech, IT","Draper, UT",Pluralsight,Public,,1970-01-01 00:00:00.000002022,1970-01
Metromile,60.0,20.0,2022-07-29,"Insurtech, transportation",San Francisco,Crunchbase,Public,,1970-01-01 00:00:00.000002022,1970-01
GoHealth,800.0,20.0,2022-08-11,"health care, health insurance",Chicago,Chicago Sun Times,Public,,1970-01-01 00:00:00.000002022,1970-01
Sezzle,9724.0,20.0,2022-03-10,Fintech,Minneapolis,Reuters,Public,,1970-01-01 00:00:00.000002022,1970-01
Pagaya,15368.0,20.0,2023-01-18,"Fintech, AI",New York,Reuters,Public,,1970-01-01 00:00:00.000002023,1970-01
2U,5901.0,20.0,2022-08-01,Edtech,"Hyattsville, MD",Inside Higher Ed,Public,,1970-01-01 00:00:00.000002022,1970-01
Leafly,56.0,21.0,2022-10-18,Cannabis,Seattle,Leafly,Public,,1970-01-01 00:00:00.000002022,1970-01
Sonder,16250.0,21.0,2022-06-10,Hospitality,San Francisco,MarketWatch,Public,,1970-01-01 00:00:00.000002022,1970-01
Bird,138.0,23.0,2022-06-07,Transporation,Santa Monica,TechCrunch,Public,,1970-01-01 00:00:00.000002022,1970-01
Rent the Runway,2895.0,24.0,2022-09-12,"e-commerce, retail",New York,Wall Street Journal,Public,,1970-01-01 00:00:00.000002022,1970-01
TuSimple,350.0,25.0,2022-12-21,"electric vehicle, transportation",San Diego,TechCrunch,Public,,1970-01-01 00:00:00.000002022,1970-01
Qualtrics,15727.0,25.0,2023-01-11,"SaaS, enterprise software","Provo, UT",MarketWatch,Public,,1970-01-01 00:00:00.000002023,1970-01
PayPal,83.0,27.0,2022-05-23,Fintech,San Jose,The Information,Public,,1970-01-01 00:00:00.000002022,1970-01
Blend,6017.0,28.0,2023-01-10,"Fintech, proptech",San Francisco,Inman,Public,,1970-01-01 00:00:00.000002023,1970-01
Juul,400.0,30.0,2022-11-10,"consumer goods, vape pens",San Francisco,CNBC,Public,,1970-01-01 00:00:00.000002022,1970-01
Akili Interactive Labs,46.0,30.0,2023-01-12,Health care,Boston,Behavioral Health Business,Public,,1970-01-01 00:00:00.000002023,1970-01
Robinhood,1013.0,33.0,2022-08-02,Fintech,Menlo Park,Robinhood,Public,,1970-01-01 00:00:00.000002022,1970-01
Playtika,250.0,33.0,2022-05-31,Gaming,Tel Aviv,Globes,Public,"Closing studios in London, Montreal, and Los Angeles. Layoffs affected around 33% of employees.",1970-01-01 00:00:00.000002022,1970-01
Vroom,647.0,33.0,2022-08-08,"Auto, E-commerce",New York,Automotive News,Public,,1970-01-01 00:00:00.000002022,1970-01
Stitch Fix,654.0,35.0,2023-01-05,"Ecommerce, Fashion",San Francisco,CNBC,Public,,1970-01-01 00:00:00.000002023,1970-01
Latch,115.0,37.0,2022-08-02,PropTech,"New York, NY",Latch,Public,,1970-01-01 00:00:00.000002022,1970-01
Sema4,750.0,39.0,2022-11-14,"AI, health care","Stamford, CT",MarketWatch,Public,,1970-01-01 00:00:00.000002022,1970-01
Root Insurance,467.0,40.0,2022-11-09,InsurTech,Columbus,Columbus Dispatch,Public,,1970-01-01 00:00:00.000002022,1970-01
Coinbase,2110.0,43.0,2023-01-10,Crypto,San Francisco,CNBC,Public,,1970-01-01 00:00:00.000002023,1970-01
Volta Charging,1294.0,54.0,2022-10-21,"Automotive, electric vehicles",San Francisco,Volta,Public,,1970-01-01 00:00:00.000002022,1970-01
Twitter,3740.0,70.0,2023-01-05,Social Media,San Francisco,The Information,Public,,1970-01-01 00:00:00.000002023,1970-01
Starry,2815.0,74.0,2023-01-18,"WiFi, hardware",Boston,SEC filings,Public,,1970-01-01 00:00:00.000002023,1970-01
RingCentral,80.0,38.0,2023-01-17,"SaaS, meeting software","Belmont, CA",Barron's,Public,,1970-01-01 00:00:00.000002023,1970-01
Carvana,4000.0,94.0,2023-01-13,"Automotive, Ecommerce",Tempe,WSJ,Public,,1970-01-01 00:00:00.000002023,1970-01
Adobe,100.0,12.0,2022-12-06,"Marketing, software, SaaS","San Jose, CA",Bloomberg,Public,,1970-01-01 00:00:00.000002022,1970-01
Invitae,1000.0,27.0,2022-07-18,"Health Care, Biotech",San Francisco,GenomeWeb,Public,,1970-01-01 00:00:00.000002022,1970-01
Microsoft,10000.0,58.0,2023-01-18,Enterprise Software,Seattle,Microsoft,Public,,1970-01-01 00:00:00.000002023,1970-01
Alphabet,12000.0,32.0,2023-01-20,"Big tech, internet services","Mountain View, CA",CNBC,Public,,1970-01-01 00:00:00.000002023,1970-01
Qualcomm,153.0,54.0,2022-12-22,"Telecommunication, wireless",San Diego,San Diego Union-Tribune,Public,,1970-01-01 00:00:00.000002022,1970-01
Okta,24.0,80.0,2022-08-26,"Enterprise software, Management information systems",San Francisco,Unleash,Public,,1970-01-01 00:00:00.000002022,1970-01
Beyond Meat,240.0,51.0,2022-10-14,Foodtech,"Manhattan Beach, CA",CNBC,Public,,1970-01-01 00:00:00.000002022,1970-01
WeWork,300.0,31.0,2023-01-19,"Real Estate, PropTech",New York,WeWork,Public,,1970-01-01 00:00:00.000002023,1970-01
Peloton,4084.0,13.0,2022-10-06,Fitness,New York,CNBC,Public,"Peloton previously laid off 3,584 in February",1970-01-01 00:00:00.000002022,1970-01
UiPath,451.0,60.0,2022-11-15,Artificial Intelligence,New York,MarketWatch,Public,,1970-01-01 00:00:00.000002022,1970-01
Netflix,480.0,80.0,2022-09-14,Media/entertainment,Los Gatos,Deadline,Public,,1970-01-01 00:00:00.000002022,1970-01
Cue,558.0,32.0,2023-01-05,Health Care,San Diego,360dx,Public,,1970-01-01 00:00:00.000002023,1970-01
Warby Parker,63.0,82.0,2022-08-08,"Ecommerce, Fashion",New York City,Insider,Public,,1970-01-01 00:00:00.000002022,1970-01
HashiCorp,69.0,60.0,2023-01-11,"cybersecurity, cloud infrastructure",San Francisco,Crunchbase News Reporting,Public,,1970-01-01 00:00:00.000002023,1970-01
Quanergy Systems,72.0,78.0,2022-12-14,Autonomous vehicles,"Sunnyvale, CA",Silicon Valley Business Journal,Public,,1970-01-01 00:00:00.000002022,1970-01
Doma,825.0,72.0,2022-12-06,"Insurtech, machine learning",San Francsico,Doma,Public,The company previously laid off workers in May.,1970-01-01 00:00:00.000002022,1970-01
Wayfair,870.0,34.0,2022-08-19,"E-commerce, retail",Boston,Boston Globe,Public,,1970-01-01 00:00:00.000002022,1970-01
Salesforce,9090.0,47.0,2023-01-04,"enterprise tech, analytics",San Francisco,New York Times,Public,,1970-01-01 00:00:00.000002023,1970-01
Oracle,6149.0,30.0,2022-08-01,"SaaS, enterprise software",Austin,The Information,Public,The Information reported thousands of people would be laid off,1970-01-01 00:00:00.000002022,1970-01
LivePerson,3568.0,22.0,2022-09-15,Customer service,New York,LinkedIn,Public,,1970-01-01 00:00:00.000002022,1970-01
Skillz,3725.0,5.0,2022-08-29,"Mobile Apps, Gaming",San Francisco,Seeking Alpha,Public,,1970-01-01 00:00:00.000002022,1970-01
Blueboard,5472.0,48.0,2022-11-03,Enterprise Software,San Francisco,LinkedIn reports,Private,,1970-01-01 00:00:00.000002022,1970-01
